Date,VIX,VVIX
2017-09-26,10.17,94.809998
2017-09-27,9.87,95.360001
2017-09-28,9.55,94.099998
2017-09-29,9.51,93.139999
2017-10-02,9.45,92.480003
2017-10-03,9.51,91.589996
2017-10-04,9.63,92.120003
2017-10-05,9.19,91.790001
2017-10-06,9.65,97.089996
2017-10-09,10.33,101.830002
2017-10-10,10.08,97.330002
2017-10-11,9.85,99.220001
2017-10-12,9.91,97.769997
2017-10-13,9.61,97.800003
2017-10-16,9.91,97.650002
2017-10-17,10.31,98.739998
2017-10-18,10.07,94.339996
2017-10-19,10.05,93.330002
2017-10-20,9.97,90.529999
2017-10-23,11.07,97.089996
2017-10-24,11.16,98.43
2017-10-25,11.23,100.160004
2017-10-26,11.3,97.730003
2017-10-27,9.8,92.779999
2017-10-30,10.5,95.190002
2017-10-31,10.18,92.010002
2017-11-01,10.2,92.0
2017-11-02,9.93,91.480003
2017-11-03,9.14,89.68
2017-11-06,9.4,91.25
2017-11-07,9.89,93.449997
2017-11-08,9.78,97.739998
2017-11-09,10.5,98.82
2017-11-10,11.29,104.760002
2017-11-13,11.5,106.300003
2017-11-14,11.59,103.18
2017-11-15,13.13,106.269997
2017-11-16,11.76,100.150002
2017-11-17,11.43,97.120003
2017-11-20,10.65,93.760002
2017-11-21,9.73,89.269997
2017-11-22,9.88,86.419998
2017-11-24,9.67,86.32
2017-11-27,9.87,86.580002
2017-11-28,10.03,85.730003
2017-11-29,10.7,89.57
2017-11-30,11.28,89.940002
2017-12-01,11.43,95.029999
2017-12-04,11.68,97.57
2017-12-05,11.33,97.949997
2017-12-06,11.02,98.169998
2017-12-07,10.16,95.830002
2017-12-08,9.58,91.889999
2017-12-11,9.34,92.059998
2017-12-12,9.92,93.269997
2017-12-13,10.18,95.559998
2017-12-14,10.49,96.07
2017-12-15,9.42,92.199997
2017-12-18,9.53,90.639999
2017-12-19,10.03,93.580002
2017-12-20,9.72,92.860001
2017-12-21,9.62,92.209999
2017-12-22,9.9,94.900002
2017-12-26,10.25,97.559998
2017-12-27,10.47,97.080002
2017-12-28,10.18,97.25
2017-12-29,11.04,100.760002
2018-01-02,9.77,97.360001
2018-01-03,9.15,94.400002
2018-01-04,9.22,94.209999
2018-01-05,9.22,93.099998
2018-01-08,9.52,93.970001
2018-01-09,10.08,94.739998
2018-01-10,9.82,93.699997
2018-01-11,9.88,92.239998
2018-01-12,10.16,92.220001
2018-01-16,11.66,106.489998
2018-01-17,11.91,102.629997
2018-01-18,12.22,103.68
2018-01-19,11.27,101.589996
2018-01-22,11.03,99.68
2018-01-23,11.1,98.589996
2018-01-24,11.47,99.769997
2018-01-25,11.58,101.779999
2018-01-26,11.08,98.650002
2018-01-29,13.84,110.010002
2018-01-30,14.79,113.480003
2018-01-31,13.54,108.410004
2018-02-01,13.47,105.769997
2018-02-02,17.31,125.510002
2018-02-05,37.32,177.339996
2018-02-06,29.98,161.119995
2018-02-07,27.73,159.029999
2018-02-08,33.46,180.610001
2018-02-09,29.06,167.279999
2018-02-12,25.61,140.800003
2018-02-13,24.97,136.580002
2018-02-14,19.26,124.489998
2018-02-15,19.13,122.760002
2018-02-16,19.46,121.199997
2018-02-20,20.6,122.580002
2018-02-21,20.02,125.730003
2018-02-22,18.72,116.980003
2018-02-23,16.49,110.190002
2018-02-26,15.8,107.68
2018-02-27,18.59,119.5
2018-02-28,19.85,121.699997
2018-03-01,22.47,128.139999
2018-03-02,19.59,114.779999
2018-03-05,18.73,109.660004
2018-03-06,18.36,104.610001
2018-03-07,17.76,99.489998
2018-03-08,16.54,96.919998
2018-03-09,14.64,99.709999
2018-03-12,15.78,104.940002
2018-03-13,16.35,107.040001
2018-03-14,17.23,110.290001
2018-03-15,16.59,109.279999
2018-03-16,15.8,106.489998
2018-03-19,19.02,112.919998
2018-03-20,18.2,107.129997
2018-03-21,17.86,106.599998
2018-03-22,23.34,125.120003
2018-03-23,24.87,129.820007
2018-03-26,21.03,113.080002
2018-03-27,22.5,118.610001
2018-03-28,22.87,114.019997
2018-03-29,19.97,103.32
2018-04-02,23.62,111.669998
2018-04-03,21.1,102.059998
2018-04-04,20.06,95.440002
2018-04-05,18.94,92.209999
2018-04-06,21.49,98.599998
2018-04-09,21.77,100.239998
2018-04-10,20.47,98.209999
2018-04-11,20.24,100.019997
2018-04-12,18.49,98.080002
2018-04-13,17.41,93.940002
2018-04-16,16.56,93.220001
2018-04-17,15.25,89.589996
2018-04-18,15.6,92.410004
2018-04-19,15.96,95.379997
2018-04-20,16.88,99.209999
2018-04-23,16.34,96.870003
2018-04-24,18.02,100.809998
2018-04-25,17.84,97.800003
2018-04-26,16.24,90.709999
2018-04-27,15.41,92.150002
2018-04-30,15.93,94.300003
2018-05-01,15.49,89.970001
2018-05-02,15.97,93.790001
2018-05-03,15.9,91.07
2018-05-04,14.77,88.120003
2018-05-07,14.75,90.709999
2018-05-08,14.71,89.5
2018-05-09,13.42,93.889999
2018-05-10,13.23,93.019997
2018-05-11,12.65,90.029999
2018-05-14,12.93,92.620003
