Effective date ,S&P Cryptocurrency Broad Digital Market Index (USD)
3/15/2022,3460.47
3/16/2022,3565.13
3/17/2022,3603.88
3/18/2022,3716.14
3/21/2022,3681.93
3/22/2022,3770.36
3/23/2022,3783.2
3/24/2022,3952.65
3/25/2022,3956.07
3/28/2022,4317.12
3/29/2022,4306.41
3/30/2022,4290.66
3/31/2022,4157.11
4/1/2022,4295.47
4/4/2022,4266.68
4/5/2022,4259.1
4/6/2022,3994.05
4/7/2022,3971.47
4/8/2022,3925.7
4/11/2022,3628.84
4/12/2022,3584.44
4/13/2022,3740.82
4/14/2022,3628.04
4/15/2022,3678.87
4/18/2022,3681.94
4/19/2022,3777.98
4/20/2022,3746.88
4/21/2022,3730.35
4/22/2022,3611.53
4/25/2022,3641.63
4/26/2022,3448.91
4/27/2022,3487.14
4/28/2022,3579.85
4/29/2022,3418.4
5/2/2022,3403.13
5/3/2022,3336.51
5/4/2022,3558.93
5/5/2022,3254.46
5/6/2022,3229.67
5/9/2022,2701.78
5/10/2022,2752.37
5/11/2022,2422.63
5/12/2022,2311.9
5/13/2022,2465.25
5/16/2022,2434.01
5/17/2022,2473.47
5/18/2022,2392.63
5/19/2022,2424.63
5/20/2022,2383.91
5/23/2022,2389.47
5/24/2022,2390.17
5/25/2022,2395.82
5/26/2022,2314.73
5/27/2022,2253.12
5/30/2022,2427.78
5/31/2022,2485.22
6/1/2022,2354.45
6/2/2022,2367.12
6/3/2022,2294.13
6/6/2022,2429
6/7/2022,2403
6/8/2022,2338.02
6/9/2022,2328.77
6/10/2022,2224.79
6/13/2022,1744.36
6/14/2022,1694.57
6/15/2022,1671.8
6/16/2022,1600.73
6/17/2022,1584.31
6/20/2022,1586.57
6/21/2022,1644.25
6/22/2022,1586.84
6/23/2022,1655.08
6/24/2022,1724.55
6/27/2022,1682.45
6/28/2022,1630.95
6/29/2022,1609.4
6/30/2022,1504.09
7/1/2022,1547.22
7/4/2022,1594.63
7/5/2022,1629.38
7/6/2022,1633.51
7/7/2022,1746.46
7/8/2022,1736.98
7/11/2022,1632.7
7/12/2022,1535.01
7/13/2022,1560.82
7/14/2022,1659.17
7/15/2022,1716.13
7/18/2022,1818.62
7/19/2022,1954.5
7/20/2022,1950.36
7/21/2022,1938.43
7/22/2022,1883.52
7/25/2022,1827.66
7/26/2022,1727.22
7/27/2022,1916.27
7/28/2022,2028.53
7/29/2022,2044.99
8/1/2022,1963.49
8/2/2022,1965.86
8/3/2022,2010.91
8/4/2022,1940.81
8/5/2022,2004.52
8/8/2022,2103.28
8/9/2022,2016.83
8/10/2022,2100.51
8/11/2022,2154.44
8/12/2022,2166.46
8/15/2022,2136.27
8/16/2022,2127.63
8/17/2022,2071.49
