Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,96.089996,96.570000,92.139999,92.389999,92.389999,0
2017-01-18,92.000000,93.089996,85.620003,87.059998,87.059998,0
2017-01-19,85.820000,88.419998,84.919998,86.839996,86.839996,0
2017-01-20,86.800003,87.419998,83.349998,83.629997,83.629997,0
2017-01-23,85.680000,87.900002,84.510002,84.510002,84.510002,0
2017-01-24,83.760002,84.279999,78.470001,79.050003,79.050003,0
2017-01-25,79.050003,79.279999,77.610001,78.660004,78.660004,0
2017-01-26,79.570000,80.849998,79.080002,79.650002,79.650002,0
2017-01-27,81.260002,84.379997,80.290001,83.629997,83.629997,0
2017-01-30,86.839996,95.919998,86.839996,92.040001,92.040001,0
2017-01-31,92.930000,94.940002,89.790001,89.830002,89.830002,0
2017-02-01,87.839996,89.260002,86.389999,87.750000,87.750000,0
2017-02-02,89.070000,90.010002,87.519997,89.730003,89.730003,0
2017-02-03,88.430000,89.419998,87.570000,88.970001,88.970001,0
2017-02-06,92.059998,92.330002,89.610001,90.019997,90.019997,0
2017-02-07,89.800003,90.470001,89.320000,89.610001,89.610001,0
2017-02-08,97.529999,99.400002,93.050003,94.580002,94.580002,0
2017-02-09,93.660004,93.660004,88.349998,89.589996,89.589996,0
2017-02-10,88.430000,88.750000,83.669998,85.769997,85.769997,0
2017-02-13,85.919998,85.919998,80.110001,80.839996,80.839996,0
2017-02-14,82.099998,82.540001,77.919998,78.349998,78.349998,0
2017-02-15,79.400002,82.970001,77.769997,81.120003,81.120003,0
2017-02-16,80.940002,88.190002,78.239998,79.660004,79.660004,0
2017-02-17,82.000000,83.629997,79.150002,81.250000,81.250000,0
2017-02-21,82.699997,83.139999,80.250000,82.449997,82.449997,0
2017-02-22,83.580002,84.800003,81.260002,81.529999,81.529999,0
2017-02-23,83.010002,86.669998,81.470001,82.199997,82.199997,0
2017-02-24,87.709999,89.089996,82.180000,83.309998,83.309998,0
2017-02-27,87.089996,87.910004,83.800003,85.690002,85.690002,0
2017-02-28,86.029999,88.669998,85.970001,88.080002,88.080002,0
2017-03-01,84.910004,85.019997,81.529999,84.029999,84.029999,0
2017-03-02,84.750000,85.010002,81.480003,83.610001,83.610001,0
2017-03-03,82.739998,82.930000,80.620003,81.190002,81.190002,0
2017-03-06,84.070000,84.150002,80.690002,81.440002,81.440002,0
2017-03-07,81.919998,82.349998,80.269997,81.430000,81.430000,0
2017-03-08,81.339996,82.820000,80.129997,82.500000,82.500000,0
2017-03-09,82.199997,84.099998,81.720001,83.639999,83.639999,0
2017-03-10,82.110001,82.940002,80.070000,80.269997,80.269997,0
2017-03-13,82.779999,82.910004,80.669998,81.570000,81.570000,0
2017-03-14,82.820000,87.669998,82.209999,85.879997,85.879997,0
2017-03-15,85.690002,85.830002,78.480003,80.760002,80.760002,0
2017-03-16,80.059998,80.580002,75.610001,75.959999,75.959999,0
2017-03-17,76.470001,78.660004,71.750000,78.660004,78.660004,0
2017-03-20,79.870003,80.129997,75.779999,77.160004,77.160004,0
2017-03-21,77.470001,84.680000,75.290001,83.019997,83.019997,0
2017-03-22,85.290001,87.070000,82.500000,83.800003,83.800003,0
2017-03-23,84.550003,88.930000,80.870003,88.930000,88.930000,0
2017-03-24,87.070000,96.699997,83.199997,89.739998,89.739998,0
2017-03-27,96.750000,97.779999,84.320000,84.860001,84.860001,0
2017-03-28,84.800003,84.919998,78.489998,79.269997,79.269997,0
2017-03-29,78.589996,79.459999,76.709999,78.260002,78.260002,0
2017-03-30,79.010002,79.739998,77.220001,77.870003,77.870003,0
2017-03-31,79.690002,79.690002,77.529999,78.309998,78.309998,0
2017-04-03,81.459999,87.400002,81.029999,82.959999,82.959999,0
2017-04-04,84.790001,84.839996,79.160004,79.669998,79.669998,0
2017-04-05,78.779999,87.269997,76.989998,86.589996,86.589996,0
2017-04-06,85.089996,85.970001,81.070000,83.910004,83.910004,0
2017-04-07,86.279999,89.889999,84.940002,89.389999,89.389999,0
2017-04-10,92.209999,97.900002,91.029999,97.900002,97.900002,0
2017-04-11,99.980003,109.980003,99.470001,103.739998,103.739998,0
2017-04-12,109.290001,114.620003,109.290001,111.529999,111.529999,0
2017-04-13,112.050003,115.690002,109.790001,115.540001,115.540001,0
2017-04-17,111.580002,111.830002,101.489998,101.489998,101.489998,0
2017-04-18,102.589996,104.209999,99.279999,99.519997,99.519997,0
2017-04-19,97.400002,98.980003,92.830002,97.889999,97.889999,0
