DATE,T10YIE
2017-01-03,1.98
2017-01-04,1.99
2017-01-05,1.95
2017-01-06,1.96
2017-01-09,1.95
2017-01-10,1.95
2017-01-11,1.99
2017-01-12,1.98
2017-01-13,1.99
2017-01-16,.
2017-01-17,1.97
2017-01-18,2.00
2017-01-19,2.04
2017-01-20,2.04
2017-01-23,2.02
2017-01-24,2.06
2017-01-25,2.08
2017-01-26,2.08
2017-01-27,2.08
2017-01-30,2.07
2017-01-31,2.05
2017-02-01,2.05
2017-02-02,2.05
2017-02-03,2.05
2017-02-06,2.02
2017-02-07,2.00
2017-02-08,1.96
2017-02-09,1.99
2017-02-10,2.01
2017-02-13,2.00
2017-02-14,2.01
2017-02-15,2.06
2017-02-16,2.02
2017-02-17,2.01
2017-02-20,.
2017-02-21,2.03
2017-02-22,2.04
2017-02-23,2.03
2017-02-24,2.00
2017-02-27,2.01
2017-02-28,2.02
2017-03-01,2.03
2017-03-02,2.01
2017-03-03,2.04
2017-03-06,2.01
2017-03-07,2.03
2017-03-08,2.01
2017-03-09,2.00
2017-03-10,2.01
2017-03-13,2.01
2017-03-14,1.99
2017-03-15,2.01
2017-03-16,2.02
2017-03-17,2.01
2017-03-20,2.00
2017-03-21,1.98
2017-03-22,1.97
2017-03-23,1.95
2017-03-24,1.98
2017-03-27,1.97
2017-03-28,1.97
2017-03-29,1.98
2017-03-30,1.96
2017-03-31,1.97
2017-04-03,1.96
2017-04-04,1.96
2017-04-05,1.97
2017-04-06,1.95
2017-04-07,1.94
2017-04-10,1.93
2017-04-11,1.91
2017-04-12,1.90
2017-04-13,1.92
2017-04-14,.
2017-04-17,1.88
2017-04-18,1.85
2017-04-19,1.85
2017-04-20,1.85
2017-04-21,1.84
2017-04-24,1.87
2017-04-25,1.91
2017-04-26,1.90
2017-04-27,1.91
2017-04-28,1.92
2017-05-01,1.92
2017-05-02,1.88
2017-05-03,1.87
2017-05-04,1.86
2017-05-05,1.86
2017-05-08,1.86
2017-05-09,1.86
2017-05-10,1.85
2017-05-11,1.88
2017-05-12,1.84
2017-05-15,1.82
2017-05-16,1.82
2017-05-17,1.78
2017-05-18,1.80
2017-05-19,1.82
2017-05-22,1.82
2017-05-23,1.83
2017-05-24,1.81
2017-05-25,1.80
2017-05-26,1.81
2017-05-29,.
2017-05-30,1.81
2017-05-31,1.81
2017-06-01,1.81
2017-06-02,1.79
2017-06-05,1.79
2017-06-06,1.77
2017-06-07,1.78
2017-06-08,1.78
2017-06-09,1.78
2017-06-12,1.75
2017-06-13,1.75
2017-06-14,1.71
2017-06-15,1.67
2017-06-16,1.67
2017-06-19,1.67
2017-06-20,1.66
2017-06-21,1.66
2017-06-22,1.69
2017-06-23,1.70
2017-06-26,1.71
2017-06-27,1.71
2017-06-28,1.73
2017-06-29,1.72
2017-06-30,1.73
2017-07-03,1.75
2017-07-04,.
2017-07-05,1.75
2017-07-06,1.76
2017-07-07,1.73
2017-07-10,1.72
2017-07-11,1.75
2017-07-12,1.76
2017-07-13,1.77
2017-07-14,1.76
2017-07-17,1.77
2017-07-18,1.76
2017-07-19,1.76
2017-07-20,1.77
2017-07-21,1.76
2017-07-24,1.78
2017-07-25,1.81
2017-07-26,1.8
2017-07-27,1.83
2017-07-28,1.83
2017-07-31,1.82
2017-08-01,1.79
2017-08-02,1.79
2017-08-03,1.78
2017-08-04,1.8
2017-08-07,1.8
2017-08-08,1.83
2017-08-09,1.82
2017-08-10,1.8
2017-08-11,1.79
2017-08-14,1.77
2017-08-15,1.78
2017-08-16,1.78
2017-08-17,1.77
2017-08-18,1.76
2017-08-21,1.75
2017-08-22,1.77
2017-08-23,1.75
