DATE,INFECTDISEMVTRACKD
2017-08-20,2.86000
2017-08-21,0.00000
2017-08-22,0.00000
2017-08-23,0.35000
2017-08-24,0.00000
2017-08-25,0.00000
2017-08-26,0.00000
2017-08-27,1.12000
2017-08-28,0.00000
2017-08-29,3.71000
2017-08-30,0.00000
2017-08-31,0.32000
2017-09-01,0.37000
2017-09-02,0.00000
2017-09-03,0.00000
2017-09-04,0.00000
2017-09-05,0.00000
2017-09-06,0.00000
2017-09-07,0.00000
2017-09-08,1.14000
2017-09-09,2.64000
2017-09-10,0.52000
2017-09-11,0.00000
2017-09-12,0.00000
2017-09-13,0.00000
2017-09-14,0.32000
2017-09-15,0.00000
2017-09-16,0.00000
2017-09-17,0.52000
2017-09-18,0.00000
2017-09-19,0.00000
2017-09-20,0.34000
2017-09-21,0.00000
2017-09-22,0.00000
2017-09-23,0.00000
2017-09-24,0.00000
2017-09-25,0.00000
2017-09-26,0.00000
2017-09-27,0.34000
2017-09-28,0.32000
2017-09-29,0.00000
2017-09-30,0.00000
2017-10-01,0.00000
2017-10-02,0.58000
2017-10-03,0.45000
2017-10-04,0.00000
2017-10-05,0.00000
2017-10-06,0.38000
2017-10-07,0.00000
2017-10-08,0.00000
2017-10-09,0.00000
2017-10-10,0.00000
2017-10-11,0.00000
2017-10-12,0.00000
2017-10-13,0.00000
2017-10-14,0.00000
2017-10-15,0.51000
2017-10-16,0.00000
2017-10-17,0.00000
2017-10-18,0.00000
2017-10-19,0.32000
2017-10-20,0.37000
2017-10-21,1.14000
2017-10-22,1.01000
2017-10-23,1.13000
2017-10-24,0.44000
2017-10-25,0.33000
2017-10-26,0.31000
2017-10-27,0.00000
2017-10-28,0.00000
2017-10-29,0.00000
2017-10-30,0.00000
2017-10-31,0.00000
2017-11-01,0.00000
2017-11-02,0.00000
2017-11-03,0.00000
2017-11-04,0.00000
2017-11-05,0.98000
2017-11-06,0.59000
2017-11-07,0.00000
2017-11-08,0.00000
2017-11-09,0.00000
2017-11-10,0.00000
2017-11-11,0.00000
2017-11-12,0.50000
2017-11-13,0.00000
2017-11-14,0.45000
2017-11-15,0.00000
2017-11-16,0.00000
2017-11-17,0.00000
2017-11-18,1.16000
2017-11-19,0.00000
2017-11-20,0.00000
2017-11-21,0.00000
2017-11-22,0.34000
2017-11-23,0.48000
2017-11-24,0.00000
2017-11-25,0.00000
2017-11-26,0.00000
2017-11-27,0.60000
2017-11-28,0.00000
2017-11-29,0.00000
2017-11-30,0.00000
2017-12-01,0.00000
2017-12-02,0.00000
2017-12-03,1.50000
2017-12-04,0.00000
2017-12-05,0.45000
2017-12-06,0.00000
2017-12-07,0.00000
2017-12-08,0.00000
2017-12-09,0.00000
2017-12-10,0.00000
2017-12-11,0.00000
2017-12-12,0.46000
2017-12-13,0.00000
2017-12-14,0.00000
2017-12-15,0.00000
2017-12-16,0.00000
2017-12-17,2.23000
2017-12-18,0.00000
2017-12-19,1.41000
2017-12-20,0.65000
2017-12-21,0.33000
2017-12-22,0.00000
2017-12-23,0.00000
2017-12-24,3.22000
2017-12-25,0.00000
2017-12-26,0.00000
2017-12-27,0.41000
2017-12-28,0.00000
2017-12-29,0.45000
2017-12-30,0.00000
2017-12-31,1.76000
2018-01-01,0.00000
2018-01-02,0.00000
2018-01-03,0.73000
2018-01-04,0.00000
2018-01-05,1.22000
2018-01-06,0.61000
2018-01-07,0.00000
2018-01-08,0.00000
2018-01-09,0.00000
2018-01-10,0.00000
2018-01-11,0.00000
2018-01-12,0.38000
2018-01-13,0.00000
2018-01-14,0.56000
2018-01-15,1.33000
2018-01-16,0.47000
2018-01-17,0.34000
2018-01-18,0.00000
2018-01-19,0.00000
2018-01-20,1.25000
2018-01-21,1.65000
2018-01-22,0.59000
2018-01-23,0.00000
2018-01-24,0.31000
2018-01-25,0.31000
2018-01-26,0.00000
2018-01-27,0.00000
2018-01-28,1.05000
2018-01-29,0.00000
2018-01-30,0.00000
2018-01-31,0.98000
2018-02-01,0.64000
2018-02-02,0.00000
2018-02-03,0.62000
2018-02-04,0.00000
2018-02-05,0.61000
2018-02-06,1.34000
2018-02-07,0.96000
2018-02-08,0.32000
2018-02-09,0.75000
2018-02-10,1.25000
2018-02-11,1.09000
2018-02-12,0.00000
2018-02-13,0.41000
2018-02-14,0.31000
2018-02-15,0.00000
2018-02-16,0.36000
2018-02-17,0.61000
2018-02-18,1.59000
2018-02-19,0.63000
2018-02-20,0.88000
2018-02-21,0.00000
2018-02-22,0.00000
2018-02-23,0.00000
2018-02-24,0.00000
2018-02-25,0.54000
2018-02-26,0.00000
2018-02-27,0.00000
2018-02-28,0.31000
2018-03-01,0.00000
2018-03-02,0.00000
2018-03-03,0.00000
2018-03-04,1.57000
2018-03-05,0.00000
2018-03-06,0.00000
2018-03-07,0.00000
2018-03-08,0.00000
2018-03-09,0.38000
2018-03-10,1.22000
2018-03-11,1.10000
2018-03-12,0.00000
2018-03-13,0.00000
2018-03-14,0.00000
2018-03-15,0.64000
2018-03-16,0.00000
2018-03-17,0.00000
2018-03-18,0.00000
2018-03-19,0.00000
2018-03-20,0.00000
2018-03-21,0.00000
2018-03-22,0.00000
2018-03-23,0.00000
2018-03-24,0.00000
2018-03-25,1.67000
2018-03-26,1.20000
2018-03-27,2.16000
2018-03-28,0.00000
2018-03-29,0.32000
2018-03-30,0.00000
2018-03-31,0.00000
2018-04-01,0.57000
2018-04-02,0.00000
2018-04-03,0.00000
2018-04-04,0.00000
2018-04-05,0.66000
