DATE,STLFSI3
2021-03-05,-0.3195
2021-03-12,-0.4440
2021-03-19,-0.4739
2021-03-26,-0.4493
2021-04-02,-0.6157
2021-04-09,-0.6746
2021-04-16,-0.6299
2021-04-23,-0.5796
2021-04-30,-0.7317
2021-05-07,-0.7129
2021-05-14,-0.6766
2021-05-21,-0.6186
2021-05-28,-0.6945
2021-06-04,-0.7618
2021-06-11,-0.6826
2021-06-18,-0.6683
2021-06-25,-0.7515
2021-07-02,-0.7753
2021-07-09,-0.5865
2021-07-16,-0.7436
2021-07-23,-0.4412
2021-07-30,-0.6892
2021-08-06,-0.5932
2021-08-13,-0.8572
2021-08-20,-0.5173
2021-08-27,-0.7366
2021-09-03,-0.6943
2021-09-10,-0.6949
2021-09-17,-0.6204
2021-09-24,-0.5223
2021-10-01,-0.6779
2021-10-08,-0.6228
2021-10-15,-0.7115
2021-10-22,-0.9108
2021-10-29,-0.7342
2021-11-05,-0.6103
2021-11-12,-0.7214
2021-11-19,-0.6969
2021-11-26,-0.4627
2021-12-03,-0.0354
2021-12-10,-0.7039
2021-12-17,-0.4437
2021-12-24,-0.5522
2021-12-31,-0.7776
2022-01-07,-0.7924
2022-01-14,-0.7284
2022-01-21,-0.4958
2022-01-28,-0.2836
2022-02-04,-0.6702
2022-02-11,-0.8657
2022-02-18,-0.6086
2022-02-25,-0.4136
2022-03-04,-0.0835
2022-03-11,-0.4058
2022-03-18,-1.0158
2022-03-25,-1.3229
2022-04-01,-1.1754
2022-04-08,-1.1757
2022-04-15,-1.1571
2022-04-22,-1.3671
2022-04-29,-0.8561
2022-05-06,-1.1446
2022-05-13,-0.6141
2022-05-20,-0.9139
2022-05-27,-1.0368
2022-06-03,-1.5091
2022-06-10,-1.3616
2022-06-17,-1.4025
2022-06-24,-1.1930
2022-07-01,-0.9721
2022-07-08,-1.1249
2022-07-15,-1.6788
2022-07-22,-2.1306
2022-07-29,-1.9336
2022-08-05,-2.1584
2022-08-12,-2.1495
