DATE,WLEMUINDXD
2017-09-23,9.21000
2017-09-24,26.60000
2017-09-25,10.25000
2017-09-26,83.96000
2017-09-27,5.75000
2017-09-28,5.52000
2017-09-29,57.78000
2017-09-30,9.84000
2017-10-01,26.44000
2017-10-02,9.89000
2017-10-03,7.65000
2017-10-04,17.21000
2017-10-05,5.38000
2017-10-06,25.71000
2017-10-07,9.39000
2017-10-08,18.10000
2017-10-09,20.50000
2017-10-10,7.52000
2017-10-11,21.89000
2017-10-12,5.49000
2017-10-13,6.21000
2017-10-14,9.49000
2017-10-15,8.64000
2017-10-16,39.75000
2017-10-17,7.63000
2017-10-18,5.59000
2017-10-19,27.07000
2017-10-20,12.58000
2017-10-21,9.69000
2017-10-22,69.06000
2017-10-23,77.31000
2017-10-24,7.52000
2017-10-25,5.64000
2017-10-26,5.36000
2017-10-27,12.40000
2017-10-28,48.20000
2017-10-29,51.93000
2017-10-30,49.90000
2017-10-31,31.12000
2017-11-01,28.24000
2017-11-02,27.31000
2017-11-03,12.69000
2017-11-04,9.22000
2017-11-05,8.34000
2017-11-06,10.10000
2017-11-07,60.57000
2017-11-08,105.19000
2017-11-09,10.68000
2017-11-10,24.84000
2017-11-11,66.29000
2017-11-12,86.10000
2017-11-13,29.53000
2017-11-14,7.65000
2017-11-15,5.65000
2017-11-16,11.00000
2017-11-17,6.31000
2017-11-18,19.87000
2017-11-19,26.12000
2017-11-20,9.94000
2017-11-21,29.51000
2017-11-22,5.79000
2017-11-23,16.27000
2017-11-24,15.26000
2017-11-25,10.66000
2017-11-26,9.19000
2017-11-27,10.21000
2017-11-28,374.38000
2017-11-29,5.69000
2017-11-30,5.55000
2017-12-01,26.86000
2017-12-02,10.26000
2017-12-03,8.51000
2017-12-04,20.41000
2017-12-05,68.33000
2017-12-06,5.84000
2017-12-07,16.87000
2017-12-08,6.67000
2017-12-09,11.00000
2017-12-10,9.57000
2017-12-11,10.69000
2017-12-12,7.93000
2017-12-13,17.07000
2017-12-14,22.81000
2017-12-15,82.57000
2017-12-16,87.35000
2017-12-17,76.14000
2017-12-18,41.47000
2017-12-19,8.01000
2017-12-20,5.56000
2017-12-21,39.72000
2017-12-22,7.34000
2017-12-23,12.13000
2017-12-24,54.87000
2017-12-25,20.56000
2017-12-26,41.35000
2017-12-27,13.95000
2017-12-28,12.77000
2017-12-29,23.07000
2017-12-30,47.60000
2017-12-31,89.84000
2018-01-01,16.72000
2018-01-02,9.12000
2018-01-03,12.52000
2018-01-04,70.37000
2018-01-05,34.79000
2018-01-06,20.95000
2018-01-07,47.03000
2018-01-08,9.66000
2018-01-09,7.52000
2018-01-10,23.41000
2018-01-11,5.75000
2018-01-12,12.85000
2018-01-13,10.71000
2018-01-14,142.24000
2018-01-15,11.35000
2018-01-16,32.33000
2018-01-17,11.59000
2018-01-18,5.63000
2018-01-19,20.46000
2018-01-20,53.38000
2018-01-21,28.10000
2018-01-22,30.07000
2018-01-23,36.23000
2018-01-24,10.65000
2018-01-25,31.49000
2018-01-26,18.43000
2018-01-27,30.72000
2018-01-28,44.74000
2018-01-29,44.75000
2018-01-30,41.47000
2018-01-31,27.74000
2018-02-01,16.34000
2018-02-02,25.71000
2018-02-03,21.00000
2018-02-04,9.29000
2018-02-05,31.03000
2018-02-06,129.13000
2018-02-07,49.18000
2018-02-08,54.51000
2018-02-09,57.46000
2018-02-10,159.90000
2018-02-11,158.05000
2018-02-12,48.26000
2018-02-13,14.08000
2018-02-14,5.30000
2018-02-15,5.29000
2018-02-16,12.44000
2018-02-17,10.49000
2018-02-18,27.10000
2018-02-19,21.58000
2018-02-20,75.14000
2018-02-21,16.06000
2018-02-22,10.99000
2018-02-23,19.08000
2018-02-24,10.07000
2018-02-25,9.25000
2018-02-26,10.01000
2018-02-27,36.37000
2018-02-28,15.99000
2018-03-01,20.79000
2018-03-02,18.36000
2018-03-03,30.29000
2018-03-04,8.93000
2018-03-05,9.74000
2018-03-06,29.91000
2018-03-07,5.59000
2018-03-08,16.63000
2018-03-09,6.45000
2018-03-10,10.44000
2018-03-11,130.77000
2018-03-12,29.17000
2018-03-13,6.86000
2018-03-14,16.50000
2018-03-15,11.00000
2018-03-16,6.33000
2018-03-17,10.54000
2018-03-18,9.48000
2018-03-19,8.91000
2018-03-20,22.31000
2018-03-21,5.64000
2018-03-22,5.38000
2018-03-23,19.44000
2018-03-24,10.74000
2018-03-25,9.48000
2018-03-26,10.25000
2018-03-27,14.75000
2018-03-28,5.79000
2018-03-29,5.50000
2018-03-30,6.81000
2018-03-31,55.49000
2018-04-01,29.31000
2018-04-02,20.97000
2018-04-03,37.57000
2018-04-04,52.08000
2018-04-05,56.15000
2018-04-06,57.54000
2018-04-07,194.40000
2018-04-08,125.79000
2018-04-09,30.52000
2018-04-10,14.75000
2018-04-11,20.97000
2018-04-12,21.24000
2018-04-13,18.55000
2018-04-14,51.99000
2018-04-15,18.53000
2018-04-16,20.16000
2018-04-17,7.17000
2018-04-18,71.71000
2018-04-19,5.32000
2018-04-20,18.72000
2018-04-21,10.28000
2018-04-22,9.68000
2018-04-23,27.74000
2018-04-24,21.26000
2018-04-25,5.38000
2018-04-26,10.26000
2018-04-27,6.16000
2018-04-28,9.49000
2018-04-29,8.98000
2018-04-30,8.75000
2018-05-01,7.04000
2018-05-02,43.79000
2018-05-03,21.44000
2018-05-04,17.84000
2018-05-05,20.91000
2018-05-06,37.80000
2018-05-07,10.16000
2018-05-08,7.29000
2018-05-09,10.89000
2018-05-10,10.50000
2018-05-11,6.42000
2018-05-12,10.79000
2018-05-13,37.47000
2018-05-14,20.24000
2018-05-15,14.96000
2018-05-16,38.33000
2018-05-17,15.86000
2018-05-18,6.41000
2018-05-19,10.71000
2018-05-20,9.36000
2018-05-21,10.48000
2018-05-22,21.35000
2018-05-23,238.98000
2018-05-24,16.05000
2018-05-25,6.38000
2018-05-26,10.95000
2018-05-27,19.82000
2018-05-28,16.23000
2018-05-29,35.31000
2018-05-30,23.28000
2018-05-31,15.62000
2018-06-01,50.05000
2018-06-02,11.19000
2018-06-03,19.83000
2018-06-04,10.61000
